"Table 1.7 Occupational employment and job openings data, projected 2014-24, and worker characteristics, 2014(Numbers in thousands)",,,,,,,,,,,
2014 National Employment Matrix title and code,,Employment,,"Employment change, 2014-24",,"Percent self employed, 2014","Job openings due to growth and replacement needs, 2014-24","Median annual wage, 2014 (1)",Typical education needed for entry  ,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
,,2014,2024,Number,Percent,,,,,,
"Total, all occupations",00-0000,"150,539.9","160,328.8","9,788.9",6.5,6.2,"46,506.9","$35,540",Ñ,Ñ,Ñ
Management occupations,11-0000,"9,157.5","9,662.9",505.4,5.5,20.3,"2,586.8","$97,230",Ñ,Ñ,Ñ
Top executives,11-1000,"2,525.9","2,672.5",146.6,5.8,3.6,760.0,"$100,910",Ñ,Ñ,Ñ
Chief executives,11-1011,343.4,339.4,-4.1,-1.2,23.8,58.4,"$173,320",Bachelor's degree,5 years or more,None
General and operations managers,11-1021,"2,124.1","2,275.2",151.1,7.1,0.4,688.8,"$97,270",Bachelor's degree,5 years or more,None
Legislators,11-1031,58.3,57.9,-0.4,-0.7,Ñ,12.9,"$20,180",Bachelor's degree,Less than 5 years,None
"Advertising, marketing, promotions, public relations, and sales managers",11-2000,667.3,710.7,43.4,6.5,2.8,210.7,"$114,230",Ñ,Ñ,Ñ
Advertising and promotions managers,11-2011,31.0,32.4,1.5,4.7,2.9,11.4,"$96,720",Bachelor's degree,Less than 5 years,None
Marketing and sales managers,11-2020,570.6,607.8,37.3,6.5,3.1,172.2,"$116,490",Ñ,Ñ,Ñ
Marketing managers,11-2021,194.3,212.5,18.2,9.4,3.1,64.2,"$127,130",Bachelor's degree,5 years or more,None
Sales managers,11-2022,376.3,395.3,19.0,5.1,3.1,108.0,"$110,660",Bachelor's degree,Less than 5 years,None
Public relations and fundraising managers,11-2031,65.8,70.5,4.7,7.1,0.3,27.1,"$101,510",Bachelor's degree,5 years or more,None
Operations specialties managers,11-3000,"1,721.9","1,847.7",125.9,7.3,1.8,499.9,"$105,750",Ñ,Ñ,Ñ
Administrative services managers,11-3011,287.3,310.8,23.5,8.2,0.5,77.2,"$83,790",Bachelor's degree,Less than 5 years,None
Computer and information systems managers,11-3021,348.5,402.2,53.7,15.4,1.3,94.8,"$127,640",Bachelor's degree,5 years or more,None
Financial managers,11-3031,555.9,593.5,37.7,6.8,3.1,169.3,"$115,320",Bachelor's degree,5 years or more,None
Industrial production managers,11-3051,173.4,167.0,-6.3,-3.7,2.1,49.1,"$92,470",Bachelor's degree,5 years or more,None
Purchasing managers,11-3061,73.0,73.7,0.7,1.0,1.4,17.9,"$106,090",Bachelor's degree,5 years or more,None
"Transportation, storage, and distribution managers",11-3071,111.6,114.1,2.5,2.2,0.8,27.1,"$85,400",High school diploma or equivalent,5 years or more,None
Compensation and benefits managers,11-3111,16.9,18.0,1.1,6.5,Ñ,6.0,"$108,070",Bachelor's degree,5 years or more,None
Human resources managers,11-3121,122.5,133.3,10.8,8.8,1.2,46.6,"$102,780",Bachelor's degree,5 years or more,None
Training and development managers,11-3131,32.9,35.2,2.3,7.0,3.1,11.9,"$101,930",Bachelor's degree,5 years or more,None
Other management occupations,11-9000,"4,242.5","4,431.9",189.5,4.5,40.5,"1,116.2","$84,800",Ñ,Ñ,Ñ
"Farmers, ranchers, and other agricultural managers",11-9013,929.8,911.7,-18.1,-1.9,70.7,158.4,"$68,050",High school diploma or equivalent,5 years or more,None
Construction managers,11-9021,373.2,391.1,17.8,4.8,38.0,70.1,"$85,630",Bachelor's degree,None,Moderate-term on-the-job training
Education administrators,11-9030,516.9,551.8,34.9,6.8,4.4,185.2,"$84,780",Ñ,Ñ,Ñ
"Education administrators, preschool and childcare center/program",11-9031,64.0,68.2,4.2,6.6,9.7,22.9,"$45,260",Bachelor's degree,Less than 5 years,None
"Education administrators, elementary and secondary school",11-9032,240.0,254.0,14.0,5.8,2.1,83.8,"$89,540",Master's degree,5 years or more,None
"Education administrators, postsecondary",11-9033,175.1,190.3,15.2,8.7,5.3,66.1,"$88,390",Master's degree,Less than 5 years,None
"Education administrators, all other",11-9039,37.8,39.3,1.5,4.0,6.3,12.5,"$77,020",Bachelor's degree,Less than 5 years,None
Architectural and engineering managers,11-9041,182.1,185.8,3.7,2.0,0.1,59.5,"$130,620",Bachelor's degree,5 years or more,None
Food service managers,11-9051,305.0,320.7,15.7,5.1,34.2,77.1,"$48,560",High school diploma or equivalent,Less than 5 years,None
Funeral service managers,11-9061,29.3,30.3,1.0,3.3,70.8,7.4,"$68,870",Associate's degree,Less than 5 years,None
Gaming managers,11-9071,3.8,3.8,0.0,-0.6,31.9,0.8,"$67,310",High school diploma or equivalent,Less than 5 years,None
Lodging managers,11-9081,48.4,52.1,3.7,7.6,32.6,13.0,"$47,680",High school diploma or equivalent,Less than 5 years,None
Medical and health services managers,11-9111,333.0,389.3,56.3,16.9,4.3,140.5,"$92,810",Bachelor's degree,Less than 5 years,None
Natural sciences managers,11-9121,55.1,56.9,1.8,3.3,Ñ,13.3,"$120,050",Bachelor's degree,5 years or more,None
Postmasters and mail superintendents,11-9131,17.3,12.8,-4.6,-26.2,Ñ,3.8,"$65,800",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Property, real estate, and community association managers",11-9141,313.8,339.1,25.3,8.1,43.7,79.9,"$54,270",High school diploma or equivalent,Less than 5 years,None
Social and community service managers,11-9151,138.5,151.7,13.2,9.5,6.0,49.8,"$62,740",Bachelor's degree,5 years or more,None
Emergency management directors,11-9161,10.5,11.2,0.7,6.2,Ñ,1.9,"$64,360",Bachelor's degree,5 years or more,None
"Managers, all other",11-9199,985.6,"1,023.6",38.0,3.9,60.4,255.4,"$105,060",Bachelor's degree,Less than 5 years,None
Business and financial operations occupations,13-0000,"7,565.3","8,197.8",632.4,8.4,5.4,"2,191.7","$64,790",Ñ,Ñ,Ñ
Business operations specialists,13-1000,"4,708.8","5,054.2",345.5,7.3,4.9,"1,204.5","$63,880",Ñ,Ñ,Ñ
"Agents and business managers of artists, performers, and athletes",13-1011,19.7,20.2,0.5,2.5,38.1,6.8,"$64,200",Bachelor's degree,Less than 5 years,None
Buyers and purchasing agents,13-1020,443.2,450.3,7.2,1.6,5.6,135.1,"$58,520",Ñ,Ñ,Ñ
"Buyers and purchasing agents, farm products",13-1021,12.9,13.5,0.6,4.6,13.7,3.3,"$55,080",Bachelor's degree,None,Long-term on-the-job training
"Wholesale and retail buyers, except farm products",13-1022,129.5,137.5,8.1,6.2,14.4,49.1,"$52,270",Bachelor's degree,None,Long-term on-the-job training
"Purchasing agents, except wholesale, retail, and farm products",13-1023,300.8,299.3,-1.5,-0.5,1.4,82.7,"$60,980",Bachelor's degree,None,Long-term on-the-job training
"Claims adjusters, appraisers, examiners, and investigators",13-1030,315.3,324.9,9.6,3.1,1.8,87.9,"$62,300",Ñ,Ñ,Ñ
"Claims adjusters, examiners, and investigators",13-1031,299.7,309.5,9.8,3.3,1.8,84.0,"$62,220",High school diploma or equivalent,None,Long-term on-the-job training
"Insurance appraisers, auto damage",13-1032,15.5,15.4,-0.2,-1.2,2.3,3.8,"$63,420",Postsecondary nondegree award,None,Moderate-term on-the-job training
Compliance officers,13-1041,260.3,269.0,8.7,3.3,0.1,45.3,"$64,950",Bachelor's degree,None,Moderate-term on-the-job training
Cost estimators,13-1051,213.5,232.3,18.7,8.8,0.7,79.5,"$60,050",Bachelor's degree,None,None
Human resources workers,13-1070,564.1,579.6,15.6,2.8,1.9,159.3,"$57,340",Ñ,Ñ,Ñ
Human resources specialists,13-1071,482.0,503.9,22.0,4.6,1.8,139.3,"$57,420",Bachelor's degree,None,None
Farm labor contractors,13-1074,0.1,0.1,0.0,-8.9,Ñ,0.0,"$41,110",No formal educational credential,Less than 5 years,Short-term on-the-job training
Labor relations specialists,13-1075,82.1,75.6,-6.4,-7.8,2.2,20.0,"$56,950",Bachelor's degree,Less than 5 years,None
Logisticians,13-1081,130.4,132.9,2.5,1.9,0.6,20.6,"$73,870",Bachelor's degree,None,None
Management analysts,13-1111,758.0,861.4,103.4,13.6,19.1,208.5,"$80,880",Bachelor's degree,Less than 5 years,None
"Meeting, convention, and event planners",13-1121,100.0,109.9,9.9,9.9,13.1,21.8,"$46,490",Bachelor's degree,None,None
Fundraisers,13-1131,73.4,80.3,6.9,9.3,0.4,17.1,"$52,430",Bachelor's degree,None,None
"Compensation, benefits, and job analysis specialists",13-1141,84.7,88.1,3.4,4.0,Ñ,24.0,"$60,600",Bachelor's degree,Less than 5 years,None
Training and development specialists,13-1151,252.6,271.5,18.9,7.5,0.9,80.4,"$57,340",Bachelor's degree,Less than 5 years,None
Market research analysts and marketing specialists,13-1161,495.5,587.8,92.3,18.6,3.1,151.4,"$61,290",Bachelor's degree,None,None
"Business operations specialists, all other",13-1199,998.0,"1,046.0",48.0,4.8,0.5,166.9,"$67,280",Bachelor's degree,None,None
Financial specialists,13-2000,"2,856.6","3,143.5",287.0,10.0,6.3,987.2,"$66,220",Ñ,Ñ,Ñ
Accountants and auditors,13-2011,"1,332.7","1,475.1",142.4,10.7,5.9,498.0,"$65,940",Bachelor's degree,None,None
Appraisers and assessors of real estate,13-2021,85.8,92.5,6.8,7.9,23.7,20.5,"$52,570",Bachelor's degree,None,Long-term on-the-job training
Budget analysts,13-2031,60.8,62.3,1.5,2.5,Ñ,16.7,"$71,220",Bachelor's degree,None,None
Credit analysts,13-2041,69.4,73.6,4.2,6.1,Ñ,34.3,"$67,020",Bachelor's degree,None,None
Financial analysts and advisors,13-2050,630.4,724.8,94.5,15.0,9.3,245.4,"$76,340",Ñ,Ñ,Ñ
Financial analysts,13-2051,277.6,310.0,32.3,11.7,3.0,89.4,"$78,620",Bachelor's degree,None,None
Personal financial advisors,13-2052,249.4,323.2,73.9,29.6,20.2,136.4,"$81,060",Bachelor's degree,None,Long-term on-the-job training
Insurance underwriters,13-2053,103.4,91.6,-11.7,-11.4,Ñ,19.5,"$64,220",Bachelor's degree,None,Moderate-term on-the-job training
Financial examiners,13-2061,38.2,42.0,3.7,9.7,Ñ,13.1,"$76,310",Bachelor's degree,None,Moderate-term on-the-job training
Credit counselors and loan officers,13-2070,335.8,365.3,29.6,8.8,0.6,85.4,"$60,120",Ñ,Ñ,Ñ
Credit counselors,13-2071,32.6,37.6,5.0,15.5,0.5,10.5,"$42,110",Bachelor's degree,None,Moderate-term on-the-job training
Loan officers,13-2072,303.2,327.7,24.5,8.1,0.6,75.0,"$62,620",Bachelor's degree,None,Moderate-term on-the-job training
"Tax examiners, collectors and preparers, and revenue agents",13-2080,158.4,155.6,-2.8,-1.7,10.7,51.9,"$45,060",Ñ,Ñ,Ñ
"Tax examiners and collectors, and revenue agents",13-2081,67.9,63.7,-4.2,-6.2,Ñ,27.8,"$51,120",Bachelor's degree,None,Moderate-term on-the-job training
Tax preparers,13-2082,90.4,91.8,1.4,1.6,18.8,24.1,"$35,990",High school diploma or equivalent,None,Moderate-term on-the-job training
"Financial specialists, all other",13-2099,145.2,152.3,7.1,4.9,1.0,21.9,"$65,440",Bachelor's degree,None,Moderate-term on-the-job training
Computer and mathematical occupations,15-0000,"4,068.3","4,599.7",531.4,13.1,2.6,"1,156.8","$79,420",Ñ,Ñ,Ñ
Computer occupations,15-1100,"3,916.1","4,404.6",488.5,12.5,2.6,"1,083.8","$79,390",Ñ,Ñ,Ñ
Computer and information research scientists,15-1111,25.6,28.3,2.7,10.7,Ñ,6.0,"$108,360",Doctoral or professional degree,None,None
Computer and information analysts,15-1120,650.7,784.1,133.4,20.5,3.5,217.1,"$83,470",Ñ,Ñ,Ñ
Computer systems analysts,15-1121,567.8,686.3,118.6,20.9,3.9,191.6,"$82,710",Bachelor's degree,None,None
Information security analysts,15-1122,82.9,97.7,14.8,17.9,0.7,25.5,"$88,890",Bachelor's degree,Less than 5 years,None
Software developers and programmers,15-1130,"1,591.1","1,790.8",199.7,12.5,3.8,485.4,"$91,320",Ñ,Ñ,Ñ
Computer programmers,15-1131,328.6,302.2,-26.5,-8.0,5.5,81.0,"$77,550",Bachelor's degree,None,None
"Software developers, applications",15-1132,718.4,853.7,135.3,18.8,2.0,238.0,"$95,510",Bachelor's degree,None,None
"Software developers, systems software",15-1133,395.6,447.0,51.3,13.0,2.1,107.9,"$102,880",Bachelor's degree,None,None
Web developers,15-1134,148.5,188.0,39.5,26.6,13.8,58.6,"$63,490",Associate's degree,None,None
Database and systems administrators and network architects,15-1140,648.8,705.0,56.2,8.7,1.2,150.1,"$80,850",Ñ,Ñ,Ñ
Database administrators,15-1141,120.0,133.4,13.4,11.1,1.6,39.2,"$80,280",Bachelor's degree,Less than 5 years,None
Network and computer systems administrators,15-1142,382.6,412.8,30.2,7.9,1.0,79.4,"$75,790",Bachelor's degree,None,None
Computer network architects,15-1143,146.2,158.9,12.7,8.7,1.5,31.5,"$98,430",Bachelor's degree,5 years or more,None
Computer support specialists,15-1150,766.9,855.7,88.8,11.6,0.5,187.4,"$50,380",Ñ,Ñ,Ñ
Computer user support specialists,15-1151,585.9,661.0,75.1,12.8,0.5,150.5,"$47,610","Some college, no degree",None,None
Computer network support specialists,15-1152,181.0,194.6,13.6,7.5,0.5,36.9,"$61,830",Associate's degree,None,None
"Computer occupations, all other",15-1199,233.0,240.8,7.7,3.3,3.5,37.7,"$83,410",Bachelor's degree,None,None
Mathematical science occupations,15-2000,152.2,195.1,42.9,28.2,0.9,73.0,"$80,270",Ñ,Ñ,Ñ
Actuaries,15-2011,24.6,29.0,4.4,18.1,Ñ,11.7,"$96,700",Bachelor's degree,None,Long-term on-the-job training
Mathematicians,15-2021,3.5,4.2,0.7,21.4,2.6,1.3,"$103,720",Master's degree,None,None
Operations research analysts,15-2031,91.3,118.9,27.6,30.2,0.3,43.9,"$76,660",Bachelor's degree,None,None
Statisticians,15-2041,30.0,40.1,10.1,33.8,3.1,15.4,"$79,990",Master's degree,None,None
Miscellaneous mathematical science occupations,15-2090,3.0,2.9,-0.1,-1.8,2.8,0.6,"$61,350",Ñ,Ñ,Ñ
Mathematical technicians,15-2091,1.2,1.1,-0.2,-12.6,Ñ,0.2,"$54,140",Bachelor's degree,None,None
"Mathematical science occupations, all other",15-2099,1.8,1.9,0.1,5.7,Ñ,0.4,"$66,560",Bachelor's degree,None,None
Architecture and engineering occupations,17-0000,"2,532.7","2,599.9",67.2,2.7,2.9,710.9,"$75,780",Ñ,Ñ,Ñ
"Architects, surveyors, and cartographers",17-1000,191.7,203.5,11.8,6.1,14.6,52.5,"$67,910",Ñ,Ñ,Ñ
"Architects, except naval",17-1010,135.1,144.2,9.0,6.7,19.4,31.3,"$72,960",Ñ,Ñ,Ñ
"Architects, except landscape and naval",17-1011,112.6,120.4,7.8,6.9,19.5,26.3,"$74,520",Bachelor's degree,None,Internship/residency
Landscape architects,17-1012,22.5,23.7,1.2,5.5,18.6,4.9,"$64,570",Bachelor's degree,None,Internship/residency
"Surveyors, cartographers, and photogrammetrists",17-1020,56.6,59.3,2.7,4.8,3.2,21.2,"$57,990",Ñ,Ñ,Ñ
Cartographers and photogrammetrists,17-1021,12.3,15.9,3.6,29.3,2.4,7.4,"$60,930",Bachelor's degree,None,None
Surveyors,17-1022,44.3,43.4,-0.9,-2.0,3.4,13.7,"$57,050",Bachelor's degree,Less than 5 years,None
Engineers,17-2000,"1,636.2","1,701.2",65.0,4.0,2.2,510.9,"$88,720",Ñ,Ñ,Ñ
Aerospace engineers,17-2011,72.5,70.8,-1.6,-2.3,3.4,20.7,"$105,380",Bachelor's degree,None,None
Agricultural engineers,17-2021,2.9,3.0,0.1,4.4,5.2,0.7,"$71,730",Bachelor's degree,None,None
Biomedical engineers,17-2031,22.1,27.2,5.1,23.1,6.8,10.9,"$86,950",Bachelor's degree,None,None
Chemical engineers,17-2041,34.3,34.9,0.6,1.8,0.8,10.0,"$96,940",Bachelor's degree,None,None
Civil engineers,17-2051,281.4,305.0,23.6,8.4,3.9,106.7,"$82,050",Bachelor's degree,None,None
Computer hardware engineers,17-2061,77.7,80.1,2.4,3.1,0.4,18.4,"$108,430",Bachelor's degree,None,None
Electrical and electronics engineers,17-2070,315.9,315.7,-0.1,0.0,1.2,71.4,"$93,260",Ñ,Ñ,Ñ
Electrical engineers,17-2071,178.4,180.2,1.8,1.0,1.3,41.1,"$91,410",Bachelor's degree,None,None
"Electronics engineers, except computer",17-2072,137.4,135.5,-1.9,-1.4,1.2,30.3,"$95,790",Bachelor's degree,None,None
Environmental engineers,17-2081,55.1,62.0,6.8,12.4,0.8,22.4,"$83,360",Bachelor's degree,None,None
"Industrial engineers, including health and safety",17-2110,266.3,270.0,3.7,1.4,1.0,81.8,"$81,510",Ñ,Ñ,Ñ
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,25.2,26.8,1.6,6.2,0.9,9.0,"$81,830",Bachelor's degree,None,None
Industrial engineers,17-2112,241.1,243.2,2.1,0.9,1.0,72.8,"$81,490",Bachelor's degree,None,None
Marine engineers and naval architects,17-2121,8.3,9.0,0.7,8.9,6.2,2.9,"$92,930",Bachelor's degree,None,None
Materials engineers,17-2131,25.3,25.6,0.3,1.3,Ñ,9.2,"$87,690",Bachelor's degree,None,None
Mechanical engineers,17-2141,277.5,292.1,14.6,5.3,1.2,102.5,"$83,060",Bachelor's degree,None,None
"Mining and geological engineers, including mining safety engineers",17-2151,8.3,8.8,0.5,6.4,Ñ,2.7,"$90,160",Bachelor's degree,None,None
Nuclear engineers,17-2161,16.8,16.2,-0.7,-4.0,Ñ,4.4,"$100,470",Bachelor's degree,None,None
Petroleum engineers,17-2171,35.1,38.5,3.4,9.8,1.6,13.0,"$130,050",Bachelor's degree,None,None
"Engineers, all other",17-2199,136.9,142.3,5.5,4.0,6.2,33.0,"$94,240",Bachelor's degree,None,None
"Drafters, engineering technicians, and mapping technicians",17-3000,704.7,695.1,-9.6,-1.4,1.5,147.5,"$53,460",Ñ,Ñ,Ñ
Drafters,17-3010,204.4,198.3,-6.2,-3.0,1.4,25.8,"$51,940",Ñ,Ñ,Ñ
Architectural and civil drafters,17-3011,94.0,91.2,-2.8,-3.0,1.4,11.1,"$49,970",Associate's degree,None,None
Electrical and electronics drafters,17-3012,30.1,31.7,1.6,5.4,1.4,5.2,"$58,790",Associate's degree,None,None
Mechanical drafters,17-3013,65.7,61.2,-4.5,-6.8,1.4,7.8,"$52,200",Associate's degree,None,None
"Drafters, all other",17-3019,14.7,14.2,-0.5,-3.4,1.4,1.7,"$49,990",Associate's degree,None,None
"Engineering technicians, except drafters",17-3020,443.0,443.9,0.9,0.2,0.5,115.2,"$55,690",Ñ,Ñ,Ñ
Aerospace engineering and operations technicians,17-3021,11.4,11.8,0.4,3.6,0.6,3.2,"$63,780",Associate's degree,None,None
Civil engineering technicians,17-3022,74.0,77.6,3.5,4.8,0.3,21.6,"$48,340",Associate's degree,None,None
Electrical and electronics engineering technicians,17-3023,139.4,136.6,-2.8,-2.0,0.5,34.1,"$59,820",Associate's degree,None,None
Electro-mechanical technicians,17-3024,14.7,14.8,0.1,0.7,0.6,3.7,"$53,070",Associate's degree,None,None
Environmental engineering technicians,17-3025,18.6,20.4,1.9,10.0,0.5,6.4,"$48,170",Associate's degree,None,None
Industrial engineering technicians,17-3026,66.5,63.5,-3.0,-4.5,0.6,16.3,"$53,370",Associate's degree,None,None
Mechanical engineering technicians,17-3027,48.4,49.3,0.9,2.0,0.6,12.8,"$53,530",Associate's degree,None,None
"Engineering technicians, except drafters, all other",17-3029,70.1,69.9,-0.2,-0.2,0.4,17.1,"$61,580",Associate's degree,None,None
Surveying and mapping technicians,17-3031,57.3,52.9,-4.3,-7.6,9.2,6.5,"$40,770",High school diploma or equivalent,None,Moderate-term on-the-job training
"Life, physical, and social science occupations",19-0000,"1,310.4","1,408.0",97.6,7.4,5.8,472.6,"$61,450",Ñ,Ñ,Ñ
Life scientists,19-1000,310.9,330.0,19.1,6.1,1.6,116.6,"$70,960",Ñ,Ñ,Ñ
Agricultural and food scientists,19-1010,36.1,38.0,1.9,5.4,4.0,14.5,"$60,690",Ñ,Ñ,Ñ
Animal scientists,19-1011,2.9,3.2,0.2,7.3,2.9,1.2,"$61,110",Bachelor's degree,None,None
Food scientists and technologists,19-1012,15.4,16.0,0.5,3.5,4.9,5.9,"$61,480",Bachelor's degree,None,None
Soil and plant scientists,19-1013,17.7,18.9,1.2,6.7,3.3,7.3,"$59,920",Bachelor's degree,None,None
Biological scientists,19-1020,114.1,118.4,4.3,3.7,2.0,35.0,"$71,940",Ñ,Ñ,Ñ
Biochemists and biophysicists,19-1021,34.1,36.9,2.8,8.2,3.1,11.9,"$84,940",Doctoral or professional degree,None,None
Microbiologists,19-1022,22.4,23.2,0.8,3.5,2.5,6.8,"$67,790",Bachelor's degree,None,None
Zoologists and wildlife biologists,19-1023,21.3,22.2,0.8,4.0,1.0,6.6,"$58,270",Bachelor's degree,None,None
"Biological scientists, all other",19-1029,36.4,36.2,-0.2,-0.4,1.1,9.7,"$74,720",Bachelor's degree,None,None
Conservation scientists and foresters,19-1030,36.5,39.3,2.7,7.5,1.3,18.7,"$60,360",Ñ,Ñ,Ñ
Conservation scientists,19-1031,21.1,22.5,1.4,6.9,1.2,10.6,"$61,860",Bachelor's degree,None,None
Foresters,19-1032,15.5,16.8,1.3,8.3,1.4,8.0,"$57,980",Bachelor's degree,None,None
Medical scientists,19-1040,113.6,123.0,9.3,8.2,0.7,44.5,"$78,920",Ñ,Ñ,Ñ
Epidemiologists,19-1041,5.8,6.1,0.4,6.3,Ñ,2.2,"$67,420",Master's degree,None,None
"Medical scientists, except epidemiologists",19-1042,107.9,116.8,9.0,8.3,0.7,42.4,"$79,930",Doctoral or professional degree,None,None
"Life scientists, all other",19-1099,10.6,11.3,0.8,7.2,Ñ,4.0,"$69,100",Bachelor's degree,None,None
Physical scientists,19-2000,296.8,316.6,19.9,6.7,2.6,92.7,"$76,260",Ñ,Ñ,Ñ
Astronomers and physicists,19-2010,20.0,21.4,1.5,7.4,0.8,5.3,"$109,290",Ñ,Ñ,Ñ
Astronomers,19-2011,1.9,1.9,0.1,2.8,Ñ,0.4,"$105,410",Doctoral or professional degree,None,None
Physicists,19-2012,18.1,19.5,1.4,7.9,0.9,4.9,"$109,600",Doctoral or professional degree,None,None
Atmospheric and space scientists,19-2021,11.8,12.9,1.1,9.2,1.8,3.3,"$87,980",Bachelor's degree,None,None
Chemists and materials scientists,19-2030,98.4,101.0,2.6,2.6,2.1,24.2,"$74,720",Ñ,Ñ,Ñ
Chemists,19-2031,91.1,93.5,2.4,2.6,2.0,22.4,"$73,480",Bachelor's degree,None,None
Materials scientists,19-2032,7.3,7.5,0.2,2.7,2.3,1.8,"$91,980",Bachelor's degree,None,None
Environmental scientists and geoscientists,19-2040,138.0,152.5,14.5,10.5,1.9,56.9,"$71,290",Ñ,Ñ,Ñ
"Environmental scientists and specialists, including health",19-2041,94.6,104.8,10.2,10.7,1.7,39.3,"$66,250",Bachelor's degree,None,None
"Geoscientists, except hydrologists and geographers",19-2042,36.4,40.2,3.8,10.5,2.4,15.0,"$89,910",Bachelor's degree,None,None
Hydrologists,19-2043,7.0,7.5,0.5,6.9,1.4,2.6,"$78,370",Bachelor's degree,None,None
"Physical scientists, all other",19-2099,28.5,28.8,0.3,1.0,9.4,3.0,"$94,030",Bachelor's degree,None,None
Social scientists and related workers,19-3000,307.1,344.7,37.5,12.2,18.3,97.2,"$71,030",Ñ,Ñ,Ñ
Economists,19-3011,21.5,22.7,1.2,5.7,8.3,7.0,"$95,710",Master's degree,None,None
Survey researchers,19-3022,16.7,18.7,1.9,11.6,5.0,3.9,"$49,760",Master's degree,None,None
Psychologists,19-3030,173.9,206.4,32.5,18.7,30.0,69.8,"$70,700",Ñ,Ñ,Ñ
"Clinical, counseling, and school psychologists",19-3031,155.3,185.9,30.5,19.6,30.6,63.8,"$68,900",Doctoral or professional degree,None,Internship/residency
Industrial-organizational psychologists,19-3032,2.0,2.3,0.4,19.1,40.9,0.8,"$76,950",Master's degree,None,Internship/residency
"Psychologists, all other",19-3039,16.6,18.3,1.6,9.8,23.0,5.2,"$92,110",Master's degree,None,Internship/residency
Sociologists,19-3041,2.6,2.5,0.0,-0.7,3.4,0.3,"$72,810",Master's degree,None,None
Urban and regional planners,19-3051,38.0,40.4,2.4,6.3,0.8,9.4,"$66,940",Master's degree,None,None
Miscellaneous social scientists and related workers,19-3090,54.4,53.9,-0.5,-1.0,1.8,6.8,"$75,360",Ñ,Ñ,Ñ
Anthropologists and archeologists,19-3091,7.7,8.0,0.3,3.8,3.7,1.2,"$59,280",Master's degree,None,None
Geographers,19-3092,1.4,1.4,0.0,-1.6,Ñ,0.2,"$76,420",Bachelor's degree,None,None
Historians,19-3093,3.5,3.5,0.1,1.7,2.0,0.5,"$55,870",Master's degree,None,None
Political scientists,19-3094,6.2,6.0,-0.1,-2.3,1.6,0.7,"$104,920",Master's degree,None,None
"Social scientists and related workers, all other",19-3099,35.6,34.9,-0.7,-2.0,1.5,4.2,"$75,630",Bachelor's degree,None,None
"Life, physical, and social science technicians",19-4000,395.6,416.7,21.1,5.3,2.0,166.1,"$42,630",Ñ,Ñ,Ñ
Agricultural and food science technicians,19-4011,33.0,34.7,1.6,4.9,3.9,12.4,"$35,140",Associate's degree,None,Moderate-term on-the-job training
Biological technicians,19-4021,79.3,83.5,4.1,5.2,1.1,26.3,"$41,290",Bachelor's degree,None,None
Chemical technicians,19-4031,66.5,67.7,1.2,1.9,1.7,21.1,"$44,180",Associate's degree,None,Moderate-term on-the-job training
Geological and petroleum technicians,19-4041,16.5,18.5,1.9,11.8,Ñ,8.0,"$54,810",Associate's degree,None,Moderate-term on-the-job training
Nuclear technicians,19-4051,6.8,6.4,-0.3,-5.1,4.5,2.8,"$74,690",Associate's degree,None,Moderate-term on-the-job training
Social science research assistants,19-4061,32.0,33.8,1.8,5.6,3.0,15.2,"$39,460",Bachelor's degree,None,None
"Miscellaneous life, physical, and social science technicians",19-4090,161.4,172.2,10.7,6.6,2.0,80.2,"$42,820",Ñ,Ñ,Ñ
"Environmental science and protection technicians, including health",19-4091,36.2,39.6,3.4,9.5,3.2,18.6,"$42,190",Associate's degree,None,None
Forensic science technicians,19-4092,14.4,18.2,3.8,26.6,0.4,9.9,"$55,360",Bachelor's degree,None,Moderate-term on-the-job training
Forest and conservation technicians,19-4093,32.6,30.8,-1.9,-5.7,0.2,13.7,"$35,260",Associate's degree,None,None
"Life, physical, and social science technicians, all other",19-4099,78.2,83.5,5.3,6.8,2.5,38.1,"$44,650",Associate's degree,None,None
Community and social service occupations,21-0000,"2,465.7","2,723.4",257.7,10.5,2.1,792.6,"$41,290",Ñ,Ñ,Ñ
"Counselors, social workers, and other community and social service specialists",21-1000,"2,033.7","2,269.4",235.7,11.6,2.5,672.6,"$41,290",Ñ,Ñ,Ñ
Counselors,21-1010,687.6,777.0,89.3,13.0,5.3,233.2,"$44,520",Ñ,Ñ,Ñ
Substance abuse and behavioral disorder counselors,21-1011,94.9,116.2,21.2,22.3,7.5,41.1,"$39,270",Bachelor's degree,None,None
"Educational, guidance, school, and vocational counselors",21-1012,273.4,295.9,22.5,8.2,2.8,79.7,"$53,370",Master's degree,None,None
Marriage and family therapists,21-1013,33.7,38.7,5.0,14.8,6.6,12.1,"$48,040",Master's degree,None,Internship/residency
Mental health counselors,21-1014,134.5,160.9,26.4,19.6,7.6,54.5,"$40,850",Master's degree,None,Internship/residency
Rehabilitation counselors,21-1015,120.1,130.9,10.8,9.0,6.5,36.0,"$34,380",Master's degree,None,None
"Counselors, all other",21-1019,31.0,34.4,3.4,11.0,5.0,9.9,"$44,830",Master's degree,None,None
