"Table 1.7 Occupational employment and job openings data, projected 2014-24, and worker characteristics, 2014(Numbers in thousands)",,,,,,,,,,,
2014 National Employment Matrix title and code,,Employment,,"Employment change, 2014-24",,"Percent self employed, 2014","Job openings due to growth and replacement needs, 2014-24","Median annual wage, 2014 (1)",Typical education needed for entry  ,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Cooks, private household",35-2013,35.9,36.2,0.2,0.6,78.2,9.7,"$22,940",Postsecondary nondegree award,Less than 5 years,None
"Cooks, restaurant",35-2014,"1,109.7","1,268.7",158.9,14.3,Ñ,452.5,"$22,490",No formal educational credential,Less than 5 years,Moderate-term on-the-job training
"Cooks, short order",35-2015,181.6,172.3,-9.3,-5.1,Ñ,48.0,"$20,190",No formal educational credential,None,Short-term on-the-job training
"Cooks, all other",35-2019,21.5,22.8,1.3,6.0,Ñ,7.0,"$24,970",No formal educational credential,None,Moderate-term on-the-job training
Food preparation workers,35-2021,873.9,928.8,54.8,6.3,0.7,298.3,"$19,560",No formal educational credential,None,Short-term on-the-job training
Food and beverage serving workers,35-3000,"6,940.0","7,475.1",535.1,7.7,0.2,"3,312.1","$18,630",Ñ,Ñ,Ñ
Bartenders,35-3011,580.9,640.9,60.1,10.3,0.4,278.3,"$19,050",No formal educational credential,None,Short-term on-the-job training
Fast food and counter workers,35-3020,"3,640.9","4,013.2",372.3,10.2,0.1,"1,682.7","$18,450",Ñ,Ñ,Ñ
"Combined food preparation and serving workers, including fast food",35-3021,"3,159.7","3,503.2",343.5,10.9,0.1,"1,364.6","$18,410",No formal educational credential,None,Short-term on-the-job training
"Counter attendants, cafeteria, food concession, and coffee shop",35-3022,481.2,510.0,28.9,6.0,0.4,318.1,"$18,740",No formal educational credential,None,Short-term on-the-job training
Waiters and waitresses,35-3031,"2,465.1","2,534.0",68.9,2.8,0.2,"1,255.0","$18,730",No formal educational credential,None,Short-term on-the-job training
"Food servers, nonrestaurant",35-3041,253.1,287.0,33.8,13.4,Ñ,96.0,"$19,900",No formal educational credential,None,Short-term on-the-job training
Other food preparation and serving related workers,35-9000,"1,345.3","1,371.4",26.1,1.9,0.2,762.6,"$18,780",Ñ,Ñ,Ñ
Dining room and cafeteria attendants and bartender helpers,35-9011,415.3,440.7,25.4,6.1,0.3,233.0,"$18,760",No formal educational credential,None,Short-term on-the-job training
Dishwashers,35-9021,507.4,487.9,-19.5,-3.9,Ñ,219.3,"$18,780",No formal educational credential,None,Short-term on-the-job training
"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,376.4,393.2,16.7,4.4,0.4,283.8,"$18,720",No formal educational credential,None,None
"Food preparation and serving related workers, all other",35-9099,46.1,49.6,3.5,7.7,0.3,26.6,"$20,510",No formal educational credential,None,Short-term on-the-job training
Building and grounds cleaning and maintenance occupations,37-0000,"5,617.2","5,967.0",349.8,6.2,12.4,"1,489.2","$23,270",Ñ,Ñ,Ñ
Supervisors of building and grounds cleaning and maintenance workers,37-1000,425.9,450.2,24.3,5.7,34.3,93.1,"$38,600",Ñ,Ñ,Ñ
First-line supervisors of housekeeping and janitorial workers,37-1011,247.9,262.8,14.9,6.0,28.2,54.0,"$36,270",High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,178.0,187.4,9.4,5.3,42.9,39.0,"$43,160",High school diploma or equivalent,Less than 5 years,None
Building cleaning and pest control workers,37-2000,"3,909.2","4,157.2",247.9,6.3,6.1,"1,087.3","$22,130",Ñ,Ñ,Ñ
Building cleaning workers,37-2010,"3,835.1","4,084.0",248.8,6.5,6.1,"1,068.7","$21,990",Ñ,Ñ,Ñ
"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,"2,360.6","2,496.9",136.3,5.8,4.0,605.2,"$22,840",No formal educational credential,None,Short-term on-the-job training
Maids and housekeeping cleaners,37-2012,"1,457.7","1,569.4",111.7,7.7,9.6,459.4,"$20,120",No formal educational credential,None,Short-term on-the-job training
"Building cleaning workers, all other",37-2019,16.9,17.7,0.8,4.8,4.9,4.2,"$28,440",No formal educational credential,None,Short-term on-the-job training
Pest control workers,37-2021,74.1,73.2,-0.9,-1.2,6.9,18.6,"$30,660",High school diploma or equivalent,None,Moderate-term on-the-job training
Grounds maintenance workers,37-3000,"1,282.0","1,359.6",77.6,6.1,24.3,308.8,"$24,810",Ñ,Ñ,Ñ
Landscaping and groundskeeping workers,37-3011,"1,167.8","1,239.6",71.7,6.1,24.4,282.3,"$24,290",No formal educational credential,None,Short-term on-the-job training
"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,36.4,37.8,1.4,3.8,20.5,7.9,"$31,240",High school diploma or equivalent,None,Moderate-term on-the-job training
Tree trimmers and pruners,37-3013,53.2,56.2,3.0,5.6,25.9,12.6,"$32,960",High school diploma or equivalent,None,Short-term on-the-job training
"Grounds maintenance workers, all other",37-3019,24.5,26.1,1.6,6.4,19.6,6.0,"$28,800",No formal educational credential,None,Short-term on-the-job training
Personal care and service occupations,39-0000,"6,006.1","6,798.2",792.1,13.2,17.1,"2,065.8","$21,260",Ñ,Ñ,Ñ
Supervisors of personal care and service workers,39-1000,290.7,318.7,27.9,9.6,33.1,88.1,"$36,520",Ñ,Ñ,Ñ
First-line supervisors of gaming workers,39-1010,34.9,34.9,0.0,-0.1,38.8,11.7,"$45,780",Ñ,Ñ,Ñ
Gaming supervisors,39-1011,27.8,28.0,0.2,0.7,39.4,9.4,"$49,420",High school diploma or equivalent,Less than 5 years,None
Slot supervisors,39-1012,7.1,6.9,-0.2,-3.2,36.5,2.4,"$33,270",High school diploma or equivalent,Less than 5 years,None
First-line supervisors of personal service workers,39-1021,255.8,283.8,28.0,10.9,32.3,76.4,"$35,250",High school diploma or equivalent,Less than 5 years,None
Animal care and service workers,39-2000,241.6,267.3,25.7,10.6,22.8,81.3,"$20,610",Ñ,Ñ,Ñ
Animal trainers,39-2011,36.8,40.9,4.1,11.1,43.1,17.4,"$25,770",High school diploma or equivalent,None,Moderate-term on-the-job training
Nonfarm animal caretakers,39-2021,204.8,226.4,21.6,10.6,19.1,63.8,"$20,340",High school diploma or equivalent,None,Short-term on-the-job training
Entertainment attendants and related workers,39-3000,543.9,576.4,32.5,6.0,2.4,271.4,"$18,960",Ñ,Ñ,Ñ
Gaming services workers,39-3010,93.1,94.2,1.0,1.1,5.0,26.0,"$18,920",Ñ,Ñ,Ñ
Gaming dealers,39-3011,68.5,68.9,0.4,0.6,5.1,18.8,"$18,560",High school diploma or equivalent,None,Short-term on-the-job training
Gaming and sports book writers and runners,39-3012,11.5,11.9,0.4,3.4,4.6,3.5,"$22,560",High school diploma or equivalent,None,Short-term on-the-job training
"Gaming service workers, all other",39-3019,13.2,13.4,0.2,1.6,5.0,3.7,"$24,240",High school diploma or equivalent,None,Short-term on-the-job training
Motion picture projectionists,39-3021,6.7,5.5,-1.2,-18.2,7.5,2.7,"$20,830",No formal educational credential,None,Short-term on-the-job training
"Ushers, lobby attendants, and ticket takers",39-3031,113.9,120.0,6.1,5.3,Ñ,77.9,"$18,760",No formal educational credential,None,Short-term on-the-job training
Miscellaneous entertainment attendants and related workers,39-3090,330.2,356.8,26.6,8.1,2.4,164.9,"$19,040",Ñ,Ñ,Ñ
Amusement and recreation attendants,39-3091,288.6,310.9,22.3,7.7,2.4,143.2,"$18,880",No formal educational credential,None,Short-term on-the-job training
Costume attendants,39-3092,6.2,6.7,0.5,8.8,2.9,3.1,"$41,670",High school diploma or equivalent,None,Short-term on-the-job training
"Locker room, coatroom, and dressing room attendants",39-3093,18.6,19.4,0.9,4.7,2.7,8.6,"$19,940",High school diploma or equivalent,None,Short-term on-the-job training
"Entertainment attendants and related workers, all other",39-3099,16.9,19.8,2.9,17.1,2.8,10.0,"$22,440",High school diploma or equivalent,None,Short-term on-the-job training
Funeral service workers,39-4000,71.0,72.4,1.4,2.0,10.4,17.7,"$29,730",Ñ,Ñ,Ñ
Embalmers,39-4011,3.8,3.6,-0.2,-6.1,3.5,0.8,"$41,720",Postsecondary nondegree award,None,Short-term on-the-job training
Funeral attendants,39-4021,36.1,35.7,-0.4,-1.2,3.5,7.9,"$23,080",High school diploma or equivalent,None,Short-term on-the-job training
"Morticians, undertakers, and funeral directors",39-4031,31.1,33.2,2.1,6.7,19.1,8.9,"$47,250",Associate's degree,None,Long-term on-the-job training
Personal appearance workers,39-5000,852.3,938.2,85.9,10.1,42.0,265.9,"$22,520",Ñ,Ñ,Ñ
"Barbers, hairdressers, hairstylists and cosmetologists",39-5010,656.4,720.7,64.4,9.8,45.5,229.1,"$23,200",Ñ,Ñ,Ñ
Barbers,39-5011,59.2,65.1,6.0,10.1,76.0,17.0,"$25,410",Postsecondary nondegree award,None,None
"Hairdressers, hairstylists, and cosmetologists",39-5012,597.2,655.6,58.4,9.8,42.5,212.1,"$23,120",Postsecondary nondegree award,None,None
Miscellaneous personal appearance workers,39-5090,195.9,217.4,21.5,11.0,30.2,36.8,"$20,830",Ñ,Ñ,Ñ
"Makeup artists, theatrical and performance",39-5091,3.6,4.3,0.7,19.2,31.1,1.0,"$44,310",Postsecondary nondegree award,None,None
Manicurists and pedicurists,39-5092,113.6,125.3,11.7,10.3,30.2,20.6,"$19,620",Postsecondary nondegree award,None,None
